,Unnamed: 0,location,side_a,side_b,territory_name,start_date,start_date2,region,type_of_conflict,S&P_500,NASDAQ,Dow_Jones
220,1858,Azerbaijan,Government of Azerbaijan,Republic of Artsakh,Artsakh (Nagorno-Karabakh),1991-12-29,2020-09-27,1,4,2446.3,6301.8857,21865.37
221,1859,Croatia,Government of Croatia,"Serbian irregulars, Serbian Republic of Krajina",Serb,1992-04-23,1992-04-30,1,4,412.53,578.14,3336.09
222,1860,Croatia,Government of Croatia,Serbian Republic of Krajina,Serb,1992-04-23,1992-04-30,1,4,412.53,578.14,3336.09
223,1861,Bosnia-Herzegovina,Government of Bosnia-Herzegovina,"Serbian irregulars, Serbian Republic of Bosnia-Herzegovina",Serb,1992-04-27,1992-04-27,1,4,409.02,572.89,3324.46
224,1862,Bosnia-Herzegovina,Government of Bosnia-Herzegovina,"Serbian irregulars, Serbian Republic of Bosnia-Herzegovina",Serb,1992-04-27,1992-04-27,1,4,409.02,572.89,3324.46
225,1863,Tajikistan,Government of Tajikistan,"PFT, UTO",,1992-05-05,1992-05-10,3,4,416.05,585.76,3369.41
226,1864,Tajikistan,Government of Tajikistan,UTO,,1992-05-05,1992-05-10,3,4,416.05,585.76,3369.41
227,1865,Tajikistan,Government of Tajikistan,UTO,,1992-05-05,1992-05-10,3,4,416.05,585.76,3369.41
228,1866,Tajikistan,Government of Tajikistan,UTO,,1992-05-05,1992-05-10,3,4,416.05,585.76,3369.41
229,1867,Tajikistan,Government of Tajikistan,UTO,,1992-05-05,1992-05-10,3,4,416.05,585.76,3369.41
230,1868,Georgia,Government of Georgia,Republic of South Ossetia,South Ossetia,1992-05-12,2008-08-12,1,4,1298.19,2452.52,11659.9
231,1869,Bosnia-Herzegovina,Government of Bosnia-Herzegovina,"Croatian irregulars, Croatian Republic of Bosnia-Herzegovina",Croat,1992-05-27,1993-01-14,1,4,437.15,697.15,3271.12
232,1870,Congo,Government of Congo,"Cobras, Cocoyes",,1993-11-03,1997-06-06,4,4,858.01,1404.84,7435.78
233,1871,Congo,Government of Congo,"Cocoyes, Ninjas, Ntsiloulous",,1993-11-03,1997-06-06,4,4,858.01,1404.84,7435.78
234,1872,Congo,Government of Congo,"Cocoyes, Ntsiloulous",,1993-11-03,1997-06-06,4,4,858.01,1404.84,7435.78
235,1896,Iran,Government of Iran,APCO,Arabistan,1979-05-30,1979-05-31,2,3,99.17,131.76,821.21
236,1897,Iran,Government of Iran,APCO,Arabistan,1979-05-30,1979-05-31,2,3,99.17,131.76,821.21
237,1898,Saudi Arabia,Government of Saudi Arabia,JSM,,1979-11-20,1979-11-20,2,3,104.67,139.85,811.77
238,1899,Liberia,Government of Liberia,Military faction (forces of Samuel Doe),,1980-04-12,1980-04-12,4,3,103.79,137.75,791.55
239,1900,Liberia,Government of Liberia,NPFL,,1980-04-12,1989-12-26,4,3,353.4,454.8,2753.2
240,1901,Liberia,Government of Liberia,"INPFL, NPFL",,1980-04-12,1989-12-26,4,3,353.4,454.8,2753.2
241,1902,Liberia,Government of Liberia,LURD,,1980-04-12,2000-05-31,4,3,1477.26,3813.38,10794.76
242,1903,Liberia,Government of Liberia,LURD,,1980-04-12,2000-05-31,4,3,1477.26,3813.38,10794.76
243,1904,Liberia,Government of Liberia,LURD,,1980-04-12,2000-05-31,4,3,1477.26,3813.38,10794.76
244,1905,Liberia,Government of Liberia,"LURD, MODEL",,1980-04-12,2000-05-31,4,3,1477.26,3813.38,10794.76
245,1915,Tunisia,Government of Tunisia,R̩sistance Arm̩e Tunisienne,,1980-01-27,1980-01-28,4,3,113.61,159.7,876.11
246,1916,Congo,Government of Congo,Ntsiloulous,,1993-11-03,2002-04-10,4,4,1111.01,1756.19,10190.82
247,1917,South Africa,Government of South Africa,ANC,,1978-02-01,1981-08-07,4,3,131.75,211.36,942.54
248,1918,South Africa,Government of South Africa,ANC,,1978-02-01,1981-08-07,4,3,131.75,211.36,942.54
249,1919,South Africa,Government of South Africa,ANC,,1978-02-01,1981-08-07,4,3,131.75,211.36,942.54
250,1920,South Africa,Government of South Africa,ANC,,1978-02-01,1985-06-26,4,3,191.85,296.2,1335.46
251,1921,South Africa,Government of South Africa,ANC,,1978-02-01,1985-06-26,4,3,191.85,296.2,1335.46
252,1922,South Africa,Government of South Africa,ANC,,1978-02-01,1985-06-26,4,3,191.85,296.2,1335.46
253,1923,South Africa,Government of South Africa,ANC,,1978-02-01,1985-06-26,4,3,191.85,296.2,1335.46
254,1924,"Cameroon, Nigeria",Government of Cameroon,Government of Nigeria,Bakassi,1994-02-18,1996-05-07,4,2,652.09,1202.76,5518.14
255,1925,India,Government of India,PLA,Manipur,1979-04-26,1982-07-31,3,3,107.09,167.35,808.6
256,1926,India,Government of India,PLA,Manipur,1979-04-26,1982-07-31,3,3,107.09,167.35,808.6
257,1927,India,Government of India,PLA,Manipur,1979-04-26,1982-07-31,3,3,107.09,167.35,808.6
258,1928,India,Government of India,PLA,Manipur,1979-04-26,1982-07-31,3,3,107.09,167.35,808.6
259,1929,India,Government of India,PLA,Manipur,1979-04-26,1982-07-31,3,3,107.09,167.35,808.6
260,1930,India,Government of India,PLA,Manipur,1979-04-26,1982-07-31,3,3,107.09,167.35,808.6
261,1931,India,Government of India,PLA,Manipur,1979-04-26,1982-07-31,3,3,107.09,167.35,808.6
262,1932,India,Government of India,UNLF,Manipur,1979-04-26,1993-12-31,3,3,466.45,776.8,3754.09
263,1933,India,Government of India,UNLF,Manipur,1979-04-26,1993-12-31,3,3,466.45,776.8,3754.09
264,1934,India,Government of India,PLA,Manipur,1979-04-26,1993-12-31,3,3,466.45,776.8,3754.09
265,1935,India,Government of India,PLA,Manipur,1979-04-26,1993-12-31,3,3,466.45,776.8,3754.09
266,1936,India,Government of India,PLA,Manipur,1979-04-26,1998-12-31,3,3,1229.23,2192.69,9181.43
267,1937,India,Government of India,UNLF,Manipur,1979-04-26,1998-12-31,3,3,1229.23,2192.69,9181.43
268,1938,India,Government of India,"PLA, UNLF",Manipur,1979-04-26,1998-12-31,3,3,1229.23,2192.69,9181.43
269,1939,India,Government of India,UNLF,Manipur,1979-04-26,2003-07-21,3,3,993.32,1708.5,9188.15
270,1940,India,Government of India,"PLA, UNLF",Manipur,1979-04-26,2003-07-21,3,3,993.32,1708.5,9188.15
271,1941,India,Government of India,UNLF,Manipur,1979-04-26,2003-07-21,3,3,993.32,1708.5,9188.15
272,1942,India,Government of India,"PLA, UNLF",Manipur,1979-04-26,2003-07-21,3,3,993.32,1708.5,9188.15
273,1943,India,Government of India,UNLF,Manipur,1979-04-26,2003-07-21,3,3,993.32,1708.5,9188.15
274,1944,India,Government of India,"KCP, PREPAK",Manipur,1979-04-26,2003-07-21,3,3,993.32,1708.5,9188.15
275,1945,India,Government of India,"KCP, PREPAK, UNLF",Manipur,1979-04-26,2003-07-21,3,3,993.32,1708.5,9188.15
276,1946,Kenya,Government of Kenya,Military faction (forces of Hezekiah Ochuka),,1982-08-01,1982-08-01,4,3,107.09,167.35,808.6
277,1947,"Ecuador, Peru",Government of Ecuador,Government of Peru,Cordillera del Condor,1995-01-26,1995-01-31,5,2,478.65,772.06,3928.64
278,1948,Serbia (Yugoslavia),Government of Serbia (Yugoslavia),UCK,Kosovo,1996-04-22,1998-03-06,1,4,1055.69,1753.49,8569.39
279,1949,India,Government of India,Sikh insurgents,Punjab/Khalistan,1981-09-20,1983-12-31,3,3,164.93,278.6,1258.64
280,1950,India,Government of India,Sikh insurgents,Punjab/Khalistan,1981-09-20,1983-12-31,3,3,164.93,278.6,1258.64
281,1951,India,Government of India,Sikh insurgents,Punjab/Khalistan,1981-09-20,1983-12-31,3,3,164.93,278.6,1258.64
282,1952,India,Government of India,Sikh insurgents,Punjab/Khalistan,1981-09-20,1983-12-31,3,3,164.93,278.6,1258.64
283,1953,India,Government of India,Sikh insurgents,Punjab/Khalistan,1981-09-20,1983-12-31,3,3,164.93,278.6,1258.64
284,1954,India,Government of India,Sikh insurgents,Punjab/Khalistan,1981-09-20,1983-12-31,3,3,164.93,278.6,1258.64
285,1955,India,Government of India,Sikh insurgents,Punjab/Khalistan,1981-09-20,1983-12-31,3,3,164.93,278.6,1258.64
286,1956,India,Government of India,Sikh insurgents,Punjab/Khalistan,1981-09-20,1983-12-31,3,3,164.93,278.6,1258.64
287,1957,India,Government of India,Sikh insurgents,Punjab/Khalistan,1981-09-20,1983-12-31,3,3,164.93,278.6,1258.64
288,1958,India,Government of India,Sikh insurgents,Punjab/Khalistan,1981-09-20,1983-12-31,3,3,164.93,278.6,1258.64
289,1959,India,Government of India,Sikh insurgents,Punjab/Khalistan,1981-09-20,1983-12-31,3,3,164.93,278.6,1258.64
290,1991,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,1984-08-15,2,3,164.14,250.37,1211.9
291,1992,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,1984-08-15,2,3,164.14,250.37,1211.9
292,1993,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,1984-08-15,2,3,164.14,250.37,1211.9
293,1994,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,1984-08-15,2,3,164.14,250.37,1211.9
294,1995,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,1984-08-15,2,3,164.14,250.37,1211.9
295,1996,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,1984-08-15,2,3,164.14,250.37,1211.9
296,1997,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,1984-08-15,2,3,164.14,250.37,1211.9
297,1998,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,1984-08-15,2,3,164.14,250.37,1211.9
298,1999,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,1984-08-15,2,3,164.14,250.37,1211.9
299,2000,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,1984-08-15,2,3,164.14,250.37,1211.9
300,2001,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,1984-08-15,2,3,164.14,250.37,1211.9
301,2002,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,1984-08-15,2,3,164.14,250.37,1211.9
302,2003,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,1984-08-15,2,3,164.14,250.37,1211.9
303,2004,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,1984-08-15,2,3,164.14,250.37,1211.9
304,2005,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,1984-08-15,2,3,164.14,250.37,1211.9
305,2006,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,1984-08-15,2,3,164.14,250.37,1211.9
306,2007,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,1984-08-15,2,3,164.14,250.37,1211.9
307,2008,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,1984-08-15,2,3,164.14,250.37,1211.9
308,2009,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,1984-08-15,2,3,164.14,250.37,1211.9
309,2010,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,1984-08-15,2,3,164.14,250.37,1211.9
310,2011,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,1984-08-15,2,3,164.14,250.37,1211.9
311,2012,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,1984-08-15,2,3,164.14,250.37,1211.9
312,2013,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,1984-08-15,2,3,164.14,250.37,1211.9
313,2014,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,1984-08-15,2,3,164.14,250.37,1211.9
314,2015,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,1984-08-15,2,3,164.14,250.37,1211.9
315,2016,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,1984-08-15,2,3,164.14,250.37,1211.9
316,2017,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,1984-08-15,2,3,164.14,250.37,1211.9
317,2018,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,1984-08-15,2,3,164.14,250.37,1211.9
318,2019,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,1984-08-15,2,3,164.14,250.37,1211.9
319,2020,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,1984-08-15,2,3,164.14,250.37,1211.9
320,2021,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,2015-07-30,2,3,2103.84,5128.28,17689.86
321,2022,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,2015-07-30,2,3,2103.84,5128.28,17689.86
322,2023,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,2015-07-30,2,3,2103.84,5128.28,17689.86
323,2024,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,2015-07-30,2,3,2103.84,5128.28,17689.86
324,2025,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,2015-07-30,2,3,2103.84,5128.28,17689.86
325,2026,Turkey,Government of Turkey,PKK,Kurdistan,1983-05-01,2015-07-30,2,3,2103.84,5128.28,17689.86
326,2027,"Eritrea, Ethiopia",Government of Eritrea,Government of Ethiopia,Common border,1998-05-06,1998-05-31,4,2,1090.82,1778.87,8899.95
327,2028,"Eritrea, Ethiopia",Government of Eritrea,Government of Ethiopia,Common border,1998-05-06,1998-05-31,4,2,1090.82,1778.87,8899.95
328,2029,"Eritrea, Ethiopia",Government of Eritrea,Government of Ethiopia,Common border,1998-05-06,1998-05-31,4,2,1090.82,1778.87,8899.95
329,2030,"Eritrea, Ethiopia",Government of Eritrea,Government of Ethiopia,Common border,1998-05-06,2016-06-13,4,2,2096.07,4894.55,17865.34
330,2031,Suriname,Government of Suriname,SLA,,1986-08-21,1987-10-12,5,3,311.07,438.4,2482.21
331,2032,Togo,Government of Togo,MTD,,1986-09-23,1986-09-23,4,3,232.23,351.6,1769.69
332,2033,South Yemen,Government of South Yemen,YSP - AFI,,1986-01-13,1986-01-13,2,3,205.96,324.4,1513.53
333,2034,Burkina Faso,Government of Burkina Faso,Popular Front,,1987-10-15,1987-10-15,4,3,282.7,406.3,2246.73
334,2035,Guinea-Bissau,Government of Guinea-Bissau,"Military Junta for the Consolidation of Democracy, Peace and Justice",,1998-06-07,1998-06-07,4,4,1113.86,1782.92,9037.71
335,2036,Guinea-Bissau,Government of Guinea-Bissau,"Military Junta for the Consolidation of Democracy, Peace and Justice",,1998-06-07,1998-06-07,4,4,1113.86,1782.92,9037.71
336,2037,DR Congo (Zaire),Government of DR Congo (Zaire),BDK,Kongo Kingdom,1998-07-02,2017-08-07,4,4,2476.83,6351.56,22092.81
337,2038,DR Congo (Zaire),Government of DR Congo (Zaire),BDK,Kongo Kingdom,1998-07-02,2020-04-22,4,4,2446.3,6301.8857,21865.37
338,2039,Comoros,Government of Comoros,Presidential guard,,1989-11-27,1989-11-29,4,3,350.63,457.1,2747.65
339,2043,India,Government of India,Kashmir insurgents,Kashmir,1984-02-06,1990-02-12,3,3,333.62,428.8,2648.2
340,2044,India,Government of India,Kashmir insurgents,Kashmir,1984-02-06,1990-02-12,3,3,333.62,428.8,2648.2
341,2045,India,Government of India,Kashmir insurgents,Kashmir,1984-02-06,1990-02-12,3,3,333.62,428.8,2648.2
342,2046,India,Government of India,Kashmir insurgents,Kashmir,1984-02-06,1990-02-12,3,3,333.62,428.8,2648.2
343,2047,India,Government of India,Kashmir insurgents,Kashmir,1984-02-06,1990-02-12,3,3,333.62,428.8,2648.2
344,2048,India,Government of India,Kashmir insurgents,Kashmir,1984-02-06,1990-02-12,3,3,333.62,428.8,2648.2
345,2049,India,Government of India,Kashmir insurgents,Kashmir,1984-02-06,1990-02-12,3,3,333.62,428.8,2648.2
346,2050,India,Government of India,Kashmir insurgents,Kashmir,1984-02-06,1990-02-12,3,3,333.62,428.8,2648.2
347,2051,India,Government of India,Kashmir insurgents,Kashmir,1984-02-06,1990-02-12,3,3,333.62,428.8,2648.2
348,2052,India,Government of India,Kashmir insurgents,Kashmir,1984-02-06,1990-02-12,3,3,333.62,428.8,2648.2
349,2053,India,Government of India,Kashmir insurgents,Kashmir,1984-02-06,1990-02-12,3,3,333.62,428.8,2648.2
350,2054,India,Government of India,Kashmir insurgents,Kashmir,1984-02-06,1990-02-12,3,3,333.62,428.8,2648.2
351,2055,India,Government of India,Kashmir insurgents,Kashmir,1984-02-06,1990-02-12,3,3,333.62,428.8,2648.2
352,2056,India,Government of India,Kashmir insurgents,Kashmir,1984-02-06,1990-02-12,3,3,333.62,428.8,2648.2
353,2057,India,Government of India,Kashmir insurgents,Kashmir,1984-02-06,1990-02-12,3,3,333.62,428.8,2648.2
354,2058,India,Government of India,Kashmir insurgents,Kashmir,1984-02-06,1990-02-12,3,3,333.62,428.8,2648.2
355,2059,India,Government of India,Kashmir insurgents,Kashmir,1984-02-06,1990-02-12,3,3,333.62,428.8,2648.2
356,2060,India,Government of India,Kashmir insurgents,Kashmir,1984-02-06,1990-02-12,3,3,333.62,428.8,2648.2
357,2061,India,Government of India,Kashmir insurgents,Kashmir,1984-02-06,1990-02-12,3,3,333.62,428.8,2648.2
358,2062,India,Government of India,Kashmir insurgents,Kashmir,1984-02-06,1990-02-12,3,3,333.62,428.8,2648.2
359,2063,India,Government of India,Kashmir insurgents,Kashmir,1984-02-06,1990-02-12,3,3,333.62,428.8,2648.2
360,2064,India,Government of India,Kashmir insurgents,Kashmir,1984-02-06,1990-02-12,3,3,333.62,428.8,2648.2
361,2065,India,Government of India,Kashmir insurgents,Kashmir,1984-02-06,1990-02-12,3,3,333.62,428.8,2648.2
362,2066,India,Government of India,Kashmir insurgents,Kashmir,1984-02-06,1990-02-12,3,3,333.62,428.8,2648.2
363,2067,India,Government of India,Kashmir insurgents,Kashmir,1984-02-06,1990-02-12,3,3,333.62,428.8,2648.2
364,2068,India,Government of India,Kashmir insurgents,Kashmir,1984-02-06,1990-02-12,3,3,333.62,428.8,2648.2
365,2069,India,Government of India,Kashmir insurgents,Kashmir,1984-02-06,1990-02-12,3,3,333.62,428.8,2648.2
366,2070,India,Government of India,Kashmir insurgents,Kashmir,1984-02-06,1990-02-12,3,3,333.62,428.8,2648.2
367,2071,India,Government of India,Kashmir insurgents,Kashmir,1984-02-06,1990-02-12,3,3,333.62,428.8,2648.2
368,2072,India,Government of India,Kashmir insurgents,Kashmir,1984-02-06,1990-02-12,3,3,333.62,428.8,2648.2
369,2073,India,Government of India,Kashmir insurgents,Kashmir,1984-02-06,1990-02-12,3,3,333.62,428.8,2648.2
370,2074,India,Government of India,ULFA,Assam,1983-12-31,1990-11-30,3,3,322.22,359.1,2559.65
371,2075,India,Government of India,ULFA,Assam,1983-12-31,1994-12-31,3,3,459.27,751.96,3834.44
372,2076,India,Government of India,ULFA,Assam,1983-12-31,1994-12-31,3,3,459.27,751.96,3834.44
373,2077,India,Government of India,ULFA,Assam,1983-12-31,1994-12-31,3,3,459.27,751.96,3834.44
374,2078,India,Government of India,ULFA,Assam,1983-12-31,1994-12-31,3,3,459.27,751.96,3834.44
375,2079,India,Government of India,ULFA,Assam,1983-12-31,1994-12-31,3,3,459.27,751.96,3834.44
376,2080,India,Government of India,ULFA,Assam,1983-12-31,1994-12-31,3,3,459.27,751.96,3834.44
377,2081,India,Government of India,ULFA,Assam,1983-12-31,1994-12-31,3,3,459.27,751.96,3834.44
378,2082,India,Government of India,ULFA,Assam,1983-12-31,1994-12-31,3,3,459.27,751.96,3834.44
379,2083,India,Government of India,ULFA,Assam,1983-12-31,1994-12-31,3,3,459.27,751.96,3834.44
380,2084,India,Government of India,ULFA,Assam,1983-12-31,1994-12-31,3,3,459.27,751.96,3834.44
381,2085,India,Government of India,ULFA,Assam,1983-12-31,1994-12-31,3,3,459.27,751.96,3834.44
382,2086,India,Government of India,ULFA,Assam,1983-12-31,1994-12-31,3,3,459.27,751.96,3834.44
383,2087,India,Government of India,ULFA,Assam,1983-12-31,1994-12-31,3,3,459.27,751.96,3834.44
384,2088,India,Government of India,ULFA,Assam,1983-12-31,1994-12-31,3,3,459.27,751.96,3834.44
385,2089,India,Government of India,ULFA,Assam,1983-12-31,1994-12-31,3,3,459.27,751.96,3834.44
386,2090,India,Government of India,ULFA,Assam,1983-12-31,1994-12-31,3,3,459.27,751.96,3834.44
387,2091,India,Government of India,ULFA,Assam,1983-12-31,1994-12-31,3,3,459.27,751.96,3834.44
388,2092,Indonesia,Government of Indonesia,GAM,Aceh,1989-05-02,1990-06-06,3,3,358.71,460.9,2862.38
389,2093,Indonesia,Government of Indonesia,GAM,Aceh,1989-05-02,1990-06-06,3,3,358.71,460.9,2862.38
390,2094,Indonesia,Government of Indonesia,GAM,Aceh,1989-05-02,1999-06-01,3,3,1327.75,2478.34,10799.84
391,2095,Indonesia,Government of Indonesia,GAM,Aceh,1989-05-02,1999-06-01,3,3,1327.75,2478.34,10799.84
392,2096,Indonesia,Government of Indonesia,GAM,Aceh,1989-05-02,1999-06-01,3,3,1327.75,2478.34,10799.84
393,2097,Indonesia,Government of Indonesia,GAM,Aceh,1989-05-02,1999-06-01,3,3,1327.75,2478.34,10799.84
394,2098,Indonesia,Government of Indonesia,GAM,Aceh,1989-05-02,1999-06-01,3,3,1327.75,2478.34,10799.84
395,2099,Indonesia,Government of Indonesia,GAM,Aceh,1989-05-02,1999-06-01,3,3,1327.75,2478.34,10799.84
396,2100,Indonesia,Government of Indonesia,GAM,Aceh,1989-05-02,1999-06-01,3,3,1327.75,2478.34,10799.84
397,2101,Panama,Government of Panama,Military faction (forces of Mois̩s Giroldi),,1989-10-03,1989-10-03,5,3,358.78,483.6,2785.52
398,2102,Lesotho,Government of Lesotho,Military faction (Lesotho),,1998-09-03,1998-09-22,4,4,1044.75,1743.59,8028.77
399,2103,Papua New Guinea,Government of Papua New Guinea,BRA,Bougainville,1989-04-06,1990-02-07,3,3,333.62,428.8,2648.2
400,2104,Papua New Guinea,Government of Papua New Guinea,BRA,Bougainville,1989-04-06,1992-08-02,3,3,424.21,580.83,3393.78
401,2105,Papua New Guinea,Government of Papua New Guinea,BRA,Bougainville,1989-04-06,1992-08-02,3,3,424.21,580.83,3393.78
402,2106,Papua New Guinea,Government of Papua New Guinea,BRA,Bougainville,1989-04-06,1992-08-02,3,3,424.21,580.83,3393.78
403,2107,Papua New Guinea,Government of Papua New Guinea,BRA,Bougainville,1989-04-06,1992-08-02,3,3,424.21,580.83,3393.78
404,2108,Papua New Guinea,Government of Papua New Guinea,BRA,Bougainville,1989-04-06,1992-08-02,3,3,424.21,580.83,3393.78
405,2109,Romania,Government of Romania,"Military faction (forces of Nicolae Ceausescu), NSF",,1989-12-17,1989-12-22,1,3,347.42,444.6,2711.39
406,2110,Uzbekistan,Government of Uzbekistan,IMU,,1999-02-16,1999-03-30,3,4,1293.72,2493.37,9832.51
407,2111,Central African Republic,Government of Central African Republic,Military faction (forces of Andr̩ Kolingba),,2001-05-27,2001-06-01,4,4,1260.67,2149.44,10990.41
408,2112,Mali,Government of Mali,MPA,Azawad,1990-06-28,1990-07-21,4,3,361.61,455.3,2961.14
409,2113,Mali,Government of Mali,FPLA,Azawad,1990-06-28,1990-07-21,4,3,361.61,455.3,2961.14
410,2114,Mali,Government of Mali,FIAA,Azawad,1990-06-28,1994-10-04,4,3,455.1,749.96,3797.43
411,2115,Mali,Government of Mali,ATNMC,Azawad,1990-06-28,2007-08-31,4,3,1473.99,2596.36,13357.74
412,2116,Mali,Government of Mali,ATNMC,Azawad,1990-06-28,2007-08-31,4,3,1473.99,2596.36,13357.74
413,2117,Mali,Government of Mali,ATNMC,Azawad,1990-06-28,2007-08-31,4,3,1473.99,2596.36,13357.74
414,2118,Mali,Government of Mali,CMA,Azawad,1990-06-28,2012-01-24,4,3,1316.33,2816.55,12660.46
415,2119,Mali,Government of Mali,CMA,Azawad,1990-06-28,2014-05-17,4,3,1877.86,4090.59,16491.31
416,2120,Central African Republic,Government of Central African Republic,Seleka,,2001-05-27,2006-11-28,4,4,1396.71,2413.21,12194.13
417,2121,Niger,Government of Niger,CRA,Air and Azawad,1994-01-19,1994-05-16,4,3,444.14,716.92,3659.68
418,2122,Central African Republic,Government of Central African Republic,Seleka,,2001-05-27,2009-11-26,4,4,1091.49,2138.44,10309.92
419,2123,Rwanda,Government of Rwanda,FPR,,1990-10-01,1990-10-03,4,3,311.5,347.4,2510.64
420,2124,Rwanda,Government of Rwanda,FPR,,1990-10-01,1990-10-03,4,3,311.5,347.4,2510.64
421,2125,Rwanda,Government of Rwanda,FPR,,1990-10-01,1990-10-03,4,3,311.5,347.4,2510.64
422,2126,Rwanda,Government of Rwanda,FPR,,1990-10-01,1990-10-03,4,3,311.5,347.4,2510.64
423,2127,Rwanda,Government of Rwanda,ALiR,,1990-10-01,1996-07-12,4,3,646.19,1103.49,5510.56
424,2128,Rwanda,Government of Rwanda,ALiR,,1990-10-01,1996-07-12,4,3,646.19,1103.49,5510.56
425,2129,Rwanda,Government of Rwanda,ALiR,,1990-10-01,1996-07-12,4,3,646.19,1103.49,5510.56
426,2130,Rwanda,Government of Rwanda,ALiR,,1990-10-01,1996-07-12,4,3,646.19,1103.49,5510.56
427,2131,Rwanda,Government of Rwanda,ALiR,,1990-10-01,1996-07-12,4,3,646.19,1103.49,5510.56
428,2132,Rwanda,Government of Rwanda,FDLR,,1990-10-01,1996-07-12,4,3,646.19,1103.49,5510.56
429,2133,Rwanda,Government of Rwanda,FDLR,,1990-10-01,1996-07-12,4,3,646.19,1103.49,5510.56
430,2134,Central African Republic,Government of Central African Republic,"anti-Balaka, Seleka",,2001-05-27,2009-11-26,4,4,1091.49,2138.44,10309.92
431,2135,Central African Republic,Government of Central African Republic,"CPC, UPC (Ali Darass Fulani supporters)",,2001-05-27,2018-05-17,4,4,2446.3,6301.8857,21865.37
432,2136,United States of America,Government of United States of America,al-Qaida,,2001-09-11,2001-09-11,5,4,1092.54,1695.37,
433,2137,United States of America,Government of United States of America,al-Qaida,,2001-09-11,2001-09-11,5,4,1092.54,1695.37,
434,2138,United States of America,Government of United States of America,al-Qaida,,2001-09-11,2001-09-11,5,4,1092.54,1695.37,
435,2139,United States of America,Government of United States of America,al-Qaida,,2001-09-11,2001-09-11,5,4,1092.54,1695.37,
436,2140,United States of America,Government of United States of America,al-Qaida,,2001-09-11,2001-09-11,5,4,1092.54,1695.37,
437,2141,United States of America,Government of United States of America,al-Qaida,,2001-09-11,2001-09-11,5,4,1092.54,1695.37,
438,2142,Senegal,Government of Senegal,MFDC,Casamance,1988-12-31,1990-08-31,4,3,322.56,381.2,2614.36
439,2143,Senegal,Government of Senegal,MFDC,Casamance,1988-12-31,1992-09-01,4,3,417.08,573.44,3281.93
440,2144,Senegal,Government of Senegal,MFDC,Casamance,1988-12-31,1992-09-01,4,3,417.08,573.44,3281.93
441,2145,Senegal,Government of Senegal,MFDC,Casamance,1988-12-31,1995-04-27,4,3,514.71,843.98,4321.27
442,2146,Senegal,Government of Senegal,MFDC,Casamance,1988-12-31,1997-03-18,4,3,784.1,1254.07,6804.79
443,2147,Senegal,Government of Senegal,MFDC,Casamance,1988-12-31,1997-03-18,4,3,784.1,1254.07,6804.79
444,2148,Senegal,Government of Senegal,MFDC,Casamance,1988-12-31,2000-04-11,4,3,1357.31,3321.29,10305.77
445,2149,Senegal,Government of Senegal,MFDC,Casamance,1988-12-31,2000-04-11,4,3,1357.31,3321.29,10305.77
446,2150,Senegal,Government of Senegal,MFDC,Casamance,1988-12-31,2003-01-20,4,3,901.78,1376.19,8586.74
447,2151,Senegal,Government of Senegal,MFDC,Casamance,1988-12-31,2011-12-20,4,3,1265.33,2618.64,12294.0
448,2152,Russia (Soviet Union),Government of Russia (Soviet Union),Republic of Armenia,Nagorno-Karabakh,1990-01-19,1990-08-31,1,3,322.56,381.2,2614.36
